Save 333 - Episode 1121/1500, Score: -97.0 (0.01), AVG Score: -101.36
Save 334 - Episode 1122/1500, Score: -105.0 (0.01), AVG Score: -101.39
Save 335 - Episode 1124/1500, Score: -101.0 (0.01), AVG Score: -101.63
Save 336 - Episode 1125/1500, Score: -104.0 (0.01), AVG Score: -101.6
Save 337 - Episode 1127/1500, Score: -105.0 (0.01), AVG Score: -101.93
Save 338 - Episode 1128/1500, Score: -97.0 (0.01), AVG Score: -101.87
Save 339 - Episode 1129/1500, Score: -102.0 (0.01), AVG Score: -101.91
Save 340 - Episode 1130/1500, Score: -83.0 (0.01), AVG Score: -101.68
Save 341 - Episode 1132/1500, Score: -105.0 (0.01), AVG Score: -101.76
Save 342 - Episode 1133/1500, Score: -104.0 (0.01), AVG Score: -101.75
Save 343 - Episode 1134/1500, Score: -84.0 (0.01), AVG Score: -101.54
Save 344 - Episode 1135/1500, Score: -104.0 (0.01), AVG Score: -101.74
Save 345 - Episode 1136/1500, Score: -87.0 (0.01), AVG Score: -101.56
Save 346 - Episode 1137/1500, Score: -86.0 (0.01), AVG Score: -101.38
Save 347 - Episode 1140/1500, Score: -93.0 (0.01), AVG Score: -101.39
Save 348 - Episode 1141/1500, Score: -83.0 (0.01), AVG Score: -101.08
Save 349 - Episode 1142/1500, Score: -108.0 (0.01), AVG Score: -101.13
Save 350 - Episode 1143/1500, Score: -103.0 (0.01), AVG Score: -101.13
Save 351 - Episode 1144/1500, Score: -107.0 (0.01), AVG Score: -101.32
Save 352 - Episode 1145/1500, Score: -101.0 (0.01), AVG Score: -101.45
Save 353 - Episode 1146/1500, Score: -103.0 (0.01), AVG Score: -101.41
Save 354 - Episode 1148/1500, Score: -101.0 (0.01), AVG Score: -101.63
